mouth open,eyes squinting,big eyes,furry,menacing,excited,whiskers,pointy ears,big ears,big nose,old age,big animal,suspicious face,spotted,x,y,image_filename,image_url
0.13870995,0.2339741,0.22643311,0.14551763,0.17041218,0.158996,0.2101565,0.21709691,0.12954076,0.17089438,0.1543169,0.108011715,0.18047023,0.18522616,15.407974,6.6282387,animal-36.jpg,http://localhost:9001/static/animals5_remote/images/animal-36.jpg
0.14506763,0.24046989,0.22266984,0.27273053,0.22001117,0.20028782,0.22526836,0.25904357,0.2077053,0.20039743,0.20780392,0.17468838,0.23880659,0.20397057,4.369397,4.783035,animal-37.jpg,http://localhost:9001/static/animals5_remote/images/animal-37.jpg
0.1038427,0.21826963,0.22760572,0.18219252,0.2066227,0.14343704,0.20930892,0.28377554,0.20188005,0.16368765,0.15108846,0.10643548,0.20268865,0.17149381,13.363566,6.4710975,animal-38.jpg,http://localhost:9001/static/animals5_remote/images/animal-38.jpg
0.15106022,0.20113616,0.16564532,0.20974727,0.1983969,0.2021209,0.1615579,0.17338188,0.14155895,0.18784095,0.22731481,0.20368195,0.15713862,0.16658308,3.708397,-2.2768927,animal-39.jpg,http://localhost:9001/static/animals5_remote/images/animal-39.jpg
0.13661127,0.22886007,0.17289491,0.19408272,0.2233183,0.18811841,0.23706825,0.21514694,0.17793298,0.19568591,0.20691608,0.20887189,0.21678786,0.20187192,-0.06522817,11.005724,animal-40.jpg,http://localhost:9001/static/animals5_remote/images/animal-40.jpg
0.14444128,0.27365243,0.22376502,0.17299192,0.22334008,0.18887065,0.21224797,0.20039694,0.15370382,0.20514417,0.19095433,0.23349053,0.25931302,0.25799063,-3.1867816,7.637607,animal-41.jpg,http://localhost:9001/static/animals5_remote/images/animal-41.jpg
0.13017674,0.26089823,0.23158254,0.2028907,0.21076243,0.14625111,0.25568643,0.23944955,0.16837932,0.19786079,0.2304651,0.16728401,0.23226452,0.19183797,10.715292,9.049391,animal-42.jpg,http://localhost:9001/static/animals5_remote/images/animal-42.jpg
0.15210141,0.26555088,0.22370644,0.19649906,0.21209371,0.18454139,0.2536268,0.24218456,0.1564848,0.18390246,0.21190767,0.1459028,0.22904818,0.22469251,10.582404,8.366662,animal-43.jpg,http://localhost:9001/static/animals5_remote/images/animal-43.jpg
0.1246246,0.22193454,0.19704938,0.20455314,0.2006938,0.17987885,0.2590664,0.22805943,0.15673727,0.17688595,0.18746936,0.13422608,0.19500078,0.17300028,13.625881,8.437748,animal-44.jpg,http://localhost:9001/static/animals5_remote/images/animal-44.jpg
0.1703041,0.2577453,0.21273588,0.25970355,0.22512959,0.1960587,0.2217849,0.2608872,0.20311995,0.21780054,0.22708803,0.20840931,0.2580109,0.26139164,2.0754209,5.5576024,animal-45.jpg,http://localhost:9001/static/animals5_remote/images/animal-45.jpg
0.18044655,0.24991305,0.21091026,0.22680283,0.22213216,0.19411473,0.20147188,0.22007467,0.1666794,0.19514681,0.24729721,0.22536407,0.24021077,0.21689864,0.64233077,2.4582403,animal-46.jpg,http://localhost:9001/static/animals5_remote/images/animal-46.jpg
0.24970384,0.25137892,0.22049779,0.18555558,0.23393027,0.1962496,0.253735,0.25673953,0.15703855,0.23519439,0.17590226,0.13216358,0.24669202,0.22019629,7.043662,6.696002,animal-47.jpg,http://localhost:9001/static/animals5_remote/images/animal-47.jpg
0.12912332,0.26482606,0.24447922,0.17191161,0.16922347,0.16489062,0.23951352,0.26294336,0.16043597,0.1577068,0.16248071,0.090866975,0.19671337,0.20140238,13.865124,4.8058424,animal-48.jpg,http://localhost:9001/static/animals5_remote/images/animal-48.jpg
0.15672147,0.28829804,0.24843806,0.2058589,0.22052564,0.17457835,0.27696398,0.26825467,0.19152708,0.1992235,0.2101088,0.16808017,0.26571545,0.24333978,7.490538,8.971783,animal-49.jpg,http://localhost:9001/static/animals5_remote/images/animal-49.jpg
0.16478388,0.2573053,0.21283275,0.22506683,0.216084,0.17107499,0.2215072,0.24633734,0.19227473,0.2013294,0.21818542,0.20539606,0.24760292,0.22793722,1.5477241,3.9123526,animal-50.jpg,http://localhost:9001/static/animals5_remote/images/animal-50.jpg
0.117230356,0.26409122,0.23754354,0.16113183,0.17183836,0.17778963,0.23943649,0.24932571,0.13362308,0.14038998,0.124311425,0.10112405,0.23809333,0.19505422,13.619214,5.172863,animal-51.jpg,http://localhost:9001/static/animals5_remote/images/animal-51.jpg
0.13892457,0.24224472,0.20957041,0.18866567,0.17887414,0.16924722,0.25705245,0.23679042,0.13990629,0.16605242,0.16385172,0.11069236,0.19401453,0.18343623,14.160823,6.2119303,animal-52.jpg,http://localhost:9001/static/animals5_remote/images/animal-52.jpg
0.13559486,0.25747654,0.21984218,0.20015444,0.21203037,0.19663036,0.20487396,0.18519299,0.13364513,0.18703379,0.20875412,0.2038362,0.23839097,0.25921822,-1.5504718,9.562167,animal-53.jpg,http://localhost:9001/static/animals5_remote/images/animal-53.jpg
0.1268843,0.24972932,0.2356174,0.19885556,0.17845292,0.16414697,0.24866797,0.25200483,0.17887844,0.16054043,0.18379347,0.12097657,0.1942812,0.20550407,12.721747,5.511599,animal-54.jpg,http://localhost:9001/static/animals5_remote/images/animal-54.jpg
0.12601563,0.24408968,0.22528207,0.2037348,0.17914547,0.1536922,0.23477459,0.2672504,0.18719156,0.16838181,0.19924663,0.12074984,0.2257917,0.20706026,11.690416,6.368345,animal-55.jpg,http://localhost:9001/static/animals5_remote/images/animal-55.jpg
0.15210158,0.21206121,0.20128344,0.17326073,0.1952527,0.14990592,0.14732487,0.15791523,0.15379344,0.18775332,0.24951927,0.17783797,0.17242475,0.20063092,3.5942354,-2.2687445,animal-56.jpg,http://localhost:9001/static/animals5_remote/images/animal-56.jpg
0.15949081,0.20130368,0.17914003,0.18964241,0.1606781,0.22200136,0.16983272,0.18359117,0.13535684,0.16195275,0.14611606,0.09191426,0.14067952,0.17588048,6.597553,-3.270303,animal-57.jpg,http://localhost:9001/static/animals5_remote/images/animal-57.jpg
0.14684916,0.20077415,0.19795652,0.17365694,0.20277883,0.14186025,0.1390935,0.18331176,0.16500089,0.18427657,0.20190364,0.18290718,0.20338887,0.2015859,4.021026,-1.8838861,animal-58.jpg,http://localhost:9001/static/animals5_remote/images/animal-58.jpg
0.19361,0.22277354,0.193659,0.18479697,0.23400266,0.22188777,0.16772033,0.23116376,0.18568172,0.1975164,0.21216297,0.12685673,0.16017872,0.17959988,5.0876245,-0.052580908,animal-59.jpg,http://localhost:9001/static/animals5_remote/images/animal-59.jpg
0.1786137,0.22072297,0.17581742,0.23633082,0.21288927,0.22268486,0.1991927,0.21238954,0.18436067,0.19972622,0.16666079,0.182684,0.18267673,0.16756149,4.916008,1.7444357,animal-60.jpg,http://localhost:9001/static/animals5_remote/images/animal-60.jpg
0.1484807,0.20799218,0.20052892,0.17949532,0.18896432,0.16645676,0.16322748,0.22082455,0.16870393,0.19263048,0.22191179,0.18116887,0.18147437,0.1975408,4.3607087,-1.2780516,animal-61.jpg,http://localhost:9001/static/animals5_remote/images/animal-61.jpg
0.14282241,0.24337947,0.23956907,0.2713593,0.21803701,0.19853355,0.23435383,0.30343518,0.25989532,0.21281706,0.2176915,0.17546175,0.24067038,0.2110468,4.966506,6.2778172,animal-62.jpg,http://localhost:9001/static/animals5_remote/images/animal-62.jpg
0.11618597,0.20931262,0.21617414,0.21016455,0.19897264,0.1635219,0.23116128,0.20963241,0.16004686,0.19600147,0.17578137,0.13124879,0.16725026,0.1766389,14.551074,8.391368,animal-63.jpg,http://localhost:9001/static/animals5_remote/images/animal-63.jpg
0.14864099,0.2753153,0.23025572,0.20421873,0.20538962,0.15985976,0.26753607,0.27570888,0.18861842,0.17453285,0.21934694,0.11616518,0.23263787,0.21160078,9.362303,6.563425,animal-64.jpg,http://localhost:9001/static/animals5_remote/images/animal-64.jpg
0.15006173,0.24760038,0.22066452,0.18192959,0.2089767,0.18412817,0.1872654,0.29466042,0.23791592,0.1993555,0.20414697,0.1397043,0.19235678,0.16375427,7.861702,1.9059012,animal-65.jpg,http://localhost:9001/static/animals5_remote/images/animal-65.jpg
0.20056863,0.23110062,0.1967476,0.23630731,0.21509759,0.26955107,0.19446222,0.27790684,0.22059667,0.19571978,0.18156922,0.14580019,0.21460485,0.20538811,5.747025,3.8743134,animal-66.jpg,http://localhost:9001/static/animals5_remote/images/animal-66.jpg
0.13178807,0.21206062,0.20493655,0.17744087,0.17919636,0.16349192,0.1685703,0.2257628,0.20616229,0.16962202,0.17242007,0.114560075,0.16063048,0.15405534,7.855527,-1.0477108,animal-67.jpg,http://localhost:9001/static/animals5_remote/images/animal-67.jpg
0.13349764,0.24914515,0.20206828,0.21737854,0.21954775,0.19626449,0.2525529,0.2295733,0.1999801,0.20900638,0.20193152,0.21181662,0.21240096,0.20569395,0.904371,10.750791,animal-68.jpg,http://localhost:9001/static/animals5_remote/images/animal-68.jpg
